checkpoint_fold	expert_id	mode	model	coverage	retained_samples	retained_actual_MAE	rejected_actual_MAE	random_expected_MAE	improvement_vs_random
0	moddrop_seed1114	LV	N0_shuffle_seed23072	0.5	765	0.5755025832	0.5960621903	0.5857823867	0.01027980353
0	moddrop_seed1114	LV	N0_shuffle_seed23072	0.7	1071	0.570255984	0.6220106596	0.5857823867	0.01552640268
0	moddrop_seed1114	LV	N0_shuffle_seed23072	1	1530	0.5857823867	0	0.5857823867	0
0	moddrop_seed1114	LV	N0_shuffle_seed23073	0.1	153	0.5348485519	0.5914417017	0.5857823867	0.05093383487
0	moddrop_seed1114	LV	N0_shuffle_seed23073	0.2	306	0.5496358276	0.5948190265	0.5857823867	0.03614655915
0	moddrop_seed1114	LV	N0_shuffle_seed23073	0.3	459	0.5457264788	0.6029492044	0.5857823867	0.04005590789
0	moddrop_seed1114	LV	N0_shuffle_seed23073	0.5	765	0.5665122555	0.605052518	0.5857823867	0.01927013125
0	moddrop_seed1114	LV	N0_shuffle_seed23073	0.7	1071	0.570348549	0.6217946748	0.5857823867	0.01543383775
0	moddrop_seed1114	LV	N0_shuffle_seed23073	1	1530	0.5857823867	0	0.5857823867	0
0	moddrop_seed1114	L	R0_global	0.1	153	0.4736772671	0.6016789313	0.5888787649	0.1152014978
0	moddrop_seed1114	L	R0_global	0.2	306	0.5287715158	0.6039055771	0.5888787649	0.06010724911
0	moddrop_seed1114	L	R0_global	0.3	459	0.533358767	0.6126730497	0.5888787649	0.05551999791
0	moddrop_seed1114	L	R0_global	0.5	765	0.5308012893	0.6469562404	0.5888787649	0.05807747554
0	moddrop_seed1114	L	R0_global	0.7	1071	0.5703024707	0.6322234512	0.5888787649	0.01857629415
0	moddrop_seed1114	L	R0_global	1	1530	0.5888787649	0	0.5888787649	1.110223025e-16
0	moddrop_seed1114	L	R0_mode	0.1	153	0.4736772671	0.6016789313	0.5888787649	0.1152014978
0	moddrop_seed1114	L	R0_mode	0.2	306	0.5287715158	0.6039055771	0.5888787649	0.06010724911
0	moddrop_seed1114	L	R0_mode	0.3	459	0.533358767	0.6126730497	0.5888787649	0.05551999791
0	moddrop_seed1114	L	R0_mode	0.5	765	0.5308012893	0.6469562404	0.5888787649	0.05807747554
0	moddrop_seed1114	L	R0_mode	0.7	1071	0.5703024707	0.6322234512	0.5888787649	0.01857629415
0	moddrop_seed1114	L	R0_mode	1	1530	0.5888787649	0	0.5888787649	1.110223025e-16
0	moddrop_seed1114	L	R1	0.1	153	0.4841369024	0.6005167496	0.5888787649	0.1047418625
0	moddrop_seed1114	L	R1	0.2	306	0.4287575219	0.6289090756	0.5888787649	0.1601212429
0	moddrop_seed1114	L	R1	0.3	459	0.4574086738	0.6452230896	0.5888787649	0.131470091
0	moddrop_seed1114	L	R1	0.5	765	0.5157254853	0.6620320444	0.5888787649	0.07315327952
0	moddrop_seed1114	L	R1	0.7	1071	0.5407252024	0.7012370773	0.5888787649	0.04815356248
0	moddrop_seed1114	L	R1	1	1530	0.5888787649	0	0.5888787649	1.110223025e-16
0	moddrop_seed1114	L	R2	0.1	153	0.3269762648	0.6179790426	0.5888787649	0.2619025001
0	moddrop_seed1114	L	R2	0.2	306	0.4019877866	0.6356015094	0.5888787649	0.1868909782
0	moddrop_seed1114	L	R2	0.3	459	0.4353664239	0.6546697681	0.5888787649	0.1535123409
0	moddrop_seed1114	L	R2	0.5	765	0.4833887584	0.6943687713	0.5888787649	0.1054900064
