SplitSeed	Probe	Mode	J	acc_7	acc_5	acc_2	F1_score	Corr	MAE	PredictionStd	PredictionMin	PredictionMax	ProjectEvaluatorRoundingParityMax
2102	P2	LAV	0.27380089958508813	0.7617785630153121	0.7891637220259128	0.9565537555228277	0.9565933274127365	0.9389647006095141	0.2770885229110718	1.0833294045088944	-2.7618263468023434	2.9526818504631165	4.6244477172274756e-05
2102	P2	LA	0.27380089958508813	0.7620730270906949	0.7882803297997645	0.9606038291605302	0.9605992821239894	0.9408533081274646	0.26990702748298645	1.084851426437739	-2.8604917532651566	2.9437439555856098	4.669187253536489e-05
2102	P2	LV	0.27380089958508813	0.7603062426383981	0.7879858657243817	0.957658321060383	0.9576825349410294	0.940547481372218	0.27255040407180786	1.0769875393461712	-2.8318467544088035	2.9109280707710337	4.959592819214764e-05
2102	P2	L	0.27380089958508813	0.7667844522968198	0.7921083627797408	0.961340206185567	0.9613535115082703	0.9417387444280202	0.2690823972225189	1.0992889369331922	-2.9099662754808926	2.9608583451346893	4.648849172972369e-05
2102	P2	MissingMacro	0.27380089958508813	0.7630545740086375	0.7894581861012956	0.9598674521354934	0.959878442857763	0.9410465113092342	0.27051327625910443	1.087042634239034	-2.8674349277182842	2.938510123830444	4.759209748574541e-05
2102	P3	LAV	0.2814875294764837	0.7420494699646644	0.7676678445229682	0.9569219440353461	0.9569465790269605	0.9369362194260771	0.2848640978336334	1.0954459001381556	-3.0339241724160706	2.894388284536438	4.946996466437259e-05
2102	P3	LA	0.2814875294764837	0.7461719670200235	0.7723792697290931	0.9572901325478645	0.9572802586484792	0.9381171887427279	0.2793366611003876	1.0973709783764551	-3.0480219885812376	2.783273378151756	3.6661100387580525e-05
2102	P3	LV	0.2814875294764837	0.7541224970553593	0.7767962308598351	0.9580265095729014	0.9580647400428131	0.9383180317255687	0.2799417972564697	1.0809966756474343	-2.953470980324296	2.7798240679113286	4.1797256469744415e-05
2102	P3	L	0.2814875294764837	0.7494110718492344	0.7735571260306242	0.9591310751104566	0.9592090958388415	0.9396652659243583	0.2750544250011444	1.0854096072347708	-3.00160070340409	2.718460205420884	4.557499885560201e-05
2102	P3	MissingMacro	0.2814875294764837	0.7499018453082057	0.774244208873184	0.9581492390770742	0.9581846981767113	0.9387001621308849	0.2781109611193339	1.0879257537528868	-3.0010312241032078	2.7605192171613226	4.1344451904308986e-05
