direction	role	mode	expert_id	method	seed	samples	spearman_consistency_error	spearman_consistency_regret	auroc_low_consistency_is_exact_best	auroc_consistency_high_error_top_vs_bottom20	consistency_mean	consistency_std	consistency_q05	consistency_q50	consistency_q95	inner_train_consistency_q99_threshold	consistency_outlier_rate_above_inner_q99	error_bottom20_consistency_mean	error_top20_consistency_mean
A	inner_train	LV	cfcompat_seed1111	cfcompat	1111	7438	0.06547248367	0.04461038401	0.4932068862	0.5503549001	0.007137905694	0.005792419255	0.001386171579	0.005847964436	0.01681180894	0.0266786579	0.01008335574	0.006802616587	0.007945310945
A	inner_train	LV	cfcompat_seed1114	cfcompat	1114	7438	0.0719596361	0.05023240223	0.5042963498	0.5606141696	0.01918073563	0.01856443195	0.003754325956	0.01488383859	0.04488561898	0.09546332121	0.01008335574	0.01791626906	0.02072434075
A	inner_train	L	uniform_kd_seed1111	uniform_kd	1111	7438	0.02627632821	0.02300660194	0.4873919454	0.5274422079	0.01005744475	0.009942286724	0.0005734860897	0.00745202601	0.02778015435	0.04387746841	0.01008335574	0.009352023922	0.01072111525
A	inner_train	L	moddrop_seed1111	moddrop	1111	7438	0.08186514956	0.05703284475	0.5160205996	0.5648284393	0.008279042593	0.008585227072	0.0004712037742	0.006044473499	0.02270826697	0.03928158581	0.01008335574	0.007502461092	0.009151925961
A	inner_train	L	moddrop_seed1114	moddrop	1114	7438	0.08006814739	0.05203777766	0.4985579779	0.552322026	0.01799860084	0.02152546068	0.0009674690664	0.01148221642	0.05394055843	0.1253427863	0.01008335574	0.01639248895	0.01881687653
A	inner_train	L	cfcompat_seed1111	cfcompat	1111	7438	0.07448564452	0.04849392422	0.4878265097	0.5593985757	0.005487409243	0.006775746508	0.000323933363	0.003754079342	0.01602619886	0.02704895914	0.01008335574	0.004965011584	0.006442857638
A	inner_train	L	cfcompat_seed1114	cfcompat	1114	7438	0.03685316117	0.03595894736	0.4962573917	0.5419498461	0.01688368863	0.0252160569	0.0009322732687	0.01082256436	0.04518951476	0.1564600444	0.01008335574	0.01550538644	0.01828873477
A	inner_valid	LAV	uniform_kd_seed1111	uniform_kd	1111	1094	0.04753418769	0.05011590751	0.5090125677	0.5455265737	0.01463715944	0.01022407856	0.002743725479	0.01216557249	0.0330575943	0.04859854639	0.01371115174	0.01400893001	0.01605851348
A	inner_valid	LAV	moddrop_seed1111	moddrop	1111	1094	0.0664708015	0.1074511321	0.5383502995	0.5504680887	0.01172206171	0.008097796764	0.002139538527	0.01006810367	0.02708572745	0.04362686276	0.004570383912	0.01115262526	0.01333099594
A	inner_valid	LAV	moddrop_seed1114	moddrop	1114	1094	0.07600532711	0.01936385812	0.4805630093	0.5610808782	0.0263765951	0.01913269565	0.005710939318	0.02174821496	0.06012773514	0.09559255436	0.01371115174	0.02454538126	0.02738042669
A	inner_valid	LAV	cfcompat_seed1111	cfcompat	1111	1094	0.02323195079	0.09909687487	0.5431255504	0.5307020287	0.007666123239	0.006136720202	0.001476956159	0.006374124438	0.01817522645	0.02955471396	0.01279707495	0.007471886204	0.008216252712
A	inner_valid	LAV	cfcompat_seed1114	cfcompat	1114	1094	0.01340123699	0.03249043598	0.5162102906	0.5187339714	0.02159088525	0.0171843254	0.004835042357	0.01787877083	0.05059914589	0.07956988335	0.01096892139	0.02011799887	0.02358382031
A	inner_valid	LA	uniform_kd_seed1111	uniform_kd	1111	1094	0.06200584847	0.07494058898	0.4923938789	0.5511978483	0.01361581057	0.01015561561	0.002803771198	0.01127895713	0.03265531659	0.04551313162	0.01279707495	0.01333296991	0.01485644257
A	inner_valid	LA	moddrop_seed1111	moddrop	1111	1094	0.06606200835	0.0302855579	0.479495736	0.5680865703	0.01028466289	0.00817969185	0.001871881634	0.008402764797	0.02417644868	0.04065685928	0.01005484461	0.009769030838	0.01142237201
A	inner_valid	LA	moddrop_seed1114	moddrop	1114	1094	0.002290488146	0.03341140164	0.499299944	0.4867288005	0.02129494567	0.02072258979	0.004137819633	0.01623778045	0.04919285476	0.1105721986	0.01462522852	0.02094637571	0.02069694631
A	inner_valid	LA	cfcompat_seed1111	cfcompat	1111	1094	0.0667110511	0.1219562647	0.5456956319	0.5654177352	0.00636372939	0.005226583053	0.001218937896	0.005049109459	0.01610194743	0.0253477259	0.01005484461	0.005781108845	0.007036217199
A	inner_valid	LA	cfcompat_seed1114	cfcompat	1114	1094	0.01735146375	0.06126086636	0.5051374505	0.4999478743	0.01765735416	0.01946253556	0.00322285369	0.01249917597	0.04669048954	0.08862543888	0.01919561243	0.01675955556	0.01839090188
A	inner_valid	LV	uniform_kd_seed1111	uniform_kd	1111	1094	0.06338354994	0.02057457757	0.4815262369	0.5601843164	0.01274716666	0.01107647111	0.002565197274	0.01015319116	0.02892919239	0.05002100494	0.01462522852	0.01235843299	0.01416707373
A	inner_valid	LV	moddrop_seed1111	moddrop	1111	1094	0.02178867884	0.05826751222	0.5054338023	0.5446091616	0.01179644558	0.008364857903	0.002713608742	0.01014650613	0.02539994139	0.04244330108	0.01188299817	0.01122568694	0.0131675204
A	inner_valid	LV	moddrop_seed1114	moddrop	1114	1094	0.06312387038	0.03816237145	0.5108313817	0.5507182919	0.02459381527	0.02152119039	0.004507921636	0.01997283846	0.05708704591	0.1085809602	0.01462522852	0.02281086265	0.02510821318
A	inner_valid	LV	cfcompat_seed1111	cfcompat	1111	1094	0.07220007578	0.1478119304	0.5340479937	0.5573069786	0.007230153026	0.005537415167	0.001681844285	0.00576967001	0.01750144884	0.0266786579	0.01371115174	0.007049549022	0.00837822153
A	inner_valid	LV	cfcompat_seed1114	cfcompat	1114	1094	0.07655812424	0.04595708106	0.5061268473	0.5570567753	0.02038477328	0.02052911833	0.003669080883	0.01544014737	0.05107963234	0.09546332121	0.01188299817	0.01917121659	0.02267072171
A	inner_valid	L	uniform_kd_seed1111	uniform_kd	1111	1094	0.0007030013437	0.009916197267	0.477812963	0.5184316424	0.01011863908	0.009913003769	0.0006181806326	0.00744061172	0.02910711765	0.04387746841	0.01462522852	0.01024037673	0.01078967621
A	inner_valid	L	moddrop_seed1111	moddrop	1111	1094	0.02569326927	0.06843196295	0.5344263216	0.5245824733	0.008193253038	0.00831502271	0.0004916895181	0.005885407329	0.02322867215	0.03928158581	0.01005484461	0.00822647908	0.009336001248
