direction	config_id	mode	expert_id	spearman_risk_error	spearman_regret
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p75	LAV	cfcompat_seed1114	0.1507123713	0.2469349436
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p75	LA	uniform_kd_seed1111	0.161369144	0.1350718767
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p75	LA	moddrop_seed1111	0.1924936572	0.2461985838
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p75	LA	moddrop_seed1114	0.1549761765	0.2451903362
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p75	LA	cfcompat_seed1111	0.1714778349	0.2372725687
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p75	LA	cfcompat_seed1114	0.1471123919	0.231794608
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p75	LV	uniform_kd_seed1111	0.1840910383	0.1939954286
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p75	LV	moddrop_seed1111	0.1859975383	0.2585047828
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p75	LV	moddrop_seed1114	0.140609491	0.2221198705
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p75	LV	cfcompat_seed1111	0.1782614122	0.2784351283
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p75	LV	cfcompat_seed1114	0.1239825937	0.2118456362
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p75	L	uniform_kd_seed1111	0.1995380893	0.1948390416
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p75	L	moddrop_seed1111	0.2138784991	0.2661918884
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p75	L	moddrop_seed1114	0.1562701121	0.2264255539
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p75	L	cfcompat_seed1111	0.2076760798	0.2653234692
A	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p75	L	cfcompat_seed1114	0.1508010347	0.2559109216
A	C__standardized_euclidean__K30__reciprocal_epsilon_1e-6	LAV	uniform_kd_seed1111	0.1514355035	0.03359353391
A	C__standardized_euclidean__K30__reciprocal_epsilon_1e-6	LAV	moddrop_seed1111	0.1608903767	0.07745054491
A	C__standardized_euclidean__K30__reciprocal_epsilon_1e-6	LAV	moddrop_seed1114	0.1185071559	0.03860860636
A	C__standardized_euclidean__K30__reciprocal_epsilon_1e-6	LAV	cfcompat_seed1111	0.1644379418	0.07149614487
A	C__standardized_euclidean__K30__reciprocal_epsilon_1e-6	LAV	cfcompat_seed1114	0.1260978252	0.05393581625
A	C__standardized_euclidean__K30__reciprocal_epsilon_1e-6	LA	uniform_kd_seed1111	0.09975925306	-0.04029261281
A	C__standardized_euclidean__K30__reciprocal_epsilon_1e-6	LA	moddrop_seed1111	0.1509020306	0.1500950388
A	C__standardized_euclidean__K30__reciprocal_epsilon_1e-6	LA	moddrop_seed1114	0.1183464761	0.03701653821
A	C__standardized_euclidean__K30__reciprocal_epsilon_1e-6	LA	cfcompat_seed1111	0.1508457579	0.1657364847
A	C__standardized_euclidean__K30__reciprocal_epsilon_1e-6	LA	cfcompat_seed1114	0.1269850648	0.09249308769
A	C__standardized_euclidean__K30__reciprocal_epsilon_1e-6	LV	uniform_kd_seed1111	0.1851246419	0.03797578953
A	C__standardized_euclidean__K30__reciprocal_epsilon_1e-6	LV	moddrop_seed1111	0.1824396993	0.06399329586
A	C__standardized_euclidean__K30__reciprocal_epsilon_1e-6	LV	moddrop_seed1114	0.1572735796	0.08407106638
A	C__standardized_euclidean__K30__reciprocal_epsilon_1e-6	LV	cfcompat_seed1111	0.1730113494	0.1130601982
A	C__standardized_euclidean__K30__reciprocal_epsilon_1e-6	LV	cfcompat_seed1114	0.1554814489	0.04136179719
