method	mode	MAE	Corr	Acc7	Acc5	Acc2	F1	J	direction
control__N4_decision_randomization__seed23422	LA	0.5563683276	0.7377637714	0.5251475494	0.5409289197	0.843678908	0.8434293439	0.5563683276	A
control__N4_decision_randomization__seed23422	LV	0.5544747964	0.7401915335	0.5236079035	0.5393892738	0.8459538512	0.8458566281	0.5544747964	A
control__N4_decision_randomization__seed23422	L	0.5563751692	0.7380039523	0.5242494226	0.5402874006	0.8446538837	0.8446050544	0.5563751692	A
control__N4_decision_randomization__seed23422	Overall	0.5552996974	0.7391470682	0.5244098024	0.5404157044	0.8454257394	0.8452684984	0.5548599637	A
control__N4_decision_randomization__seed23423	LAV	0.5539757837	0.740212624	0.5248909418	0.5410572235	0.846441339	0.846137603	0.5539757837	A
control__N4_decision_randomization__seed23423	LA	0.5562033173	0.7380362743	0.5225814729	0.5383628432	0.8454663633	0.8450755611	0.5562033173	A
control__N4_decision_randomization__seed23423	LV	0.5538409331	0.7406064045	0.5246343341	0.5404157044	0.8461163471	0.8459453825	0.5538409331	A
control__N4_decision_randomization__seed23423	L	0.5560361889	0.7381724654	0.523222992	0.5388760585	0.8443288918	0.8441140628	0.5560361889	A
control__N4_decision_randomization__seed23423	Overall	0.5550140558	0.7392477959	0.5238324352	0.5396779574	0.8455882353	0.8453186401	0.5546679651	A
control__N2_global_competence	LAV	0.5532460078	0.7412465058	0.5260456762	0.5422119579	0.8467663308	0.8463788161	0.5532460078	A
control__N2_global_competence	LA	0.5551326452	0.7389993153	0.5245060303	0.5402874006	0.8456288593	0.8452127426	0.5551326452	A
control__N2_global_competence	LV	0.5533229509	0.7411836052	0.5248909418	0.540672312	0.8461163471	0.8458956733	0.5533229509	A
control__N2_global_competence	L	0.5551422593	0.739089115	0.5245060303	0.5401590967	0.8444913877	0.8442515525	0.5551422593	A
control__N2_global_competence	Overall	0.5542109658	0.7401214146	0.5249871696	0.5408326918	0.8457507312	0.8454350656	0.5538893131	A
control__N3_mode_only_competence	LAV	0.5532460078	0.7412465058	0.5260456762	0.5422119579	0.8467663308	0.8463788161	0.5532460078	A
control__N3_mode_only_competence	LA	0.5551326452	0.7389993153	0.5245060303	0.5402874006	0.8456288593	0.8452127426	0.5551326452	A
control__N3_mode_only_competence	LV	0.5533229509	0.7411836052	0.5248909418	0.540672312	0.8461163471	0.8458956733	0.5533229509	A
control__N3_mode_only_competence	L	0.5551422593	0.739089115	0.5245060303	0.5401590967	0.8444913877	0.8442515525	0.5551422593	A
control__N3_mode_only_competence	Overall	0.5542109658	0.7401214146	0.5249871696	0.5408326918	0.8457507312	0.8454350656	0.5538893131	A
strong_static	LAV	0.5545851748	0.7588833103	0.5221518987	0.5457102672	0.8448431846	0.8444743428	0.5545851748	B
strong_static	LA	0.5559157857	0.7577820825	0.5230895452	0.5462962963	0.8448431846	0.8443250849	0.5559157857	B
strong_static	LV	0.5546210657	0.7587762826	0.5215658697	0.5450070323	0.8458986731	0.8454526424	0.5546210657	B
strong_static	L	0.5560012527	0.7576869249	0.5216830755	0.5447726207	0.8452955368	0.8447346252	0.5560012527	B
strong_static	Overall	0.5552808197	0.7582766336	0.5221225973	0.5454465541	0.8452201448	0.8447472333	0.5550489381	B
selected_local_dynamic	LAV	0.5542711435	0.7587040933	0.5216830755	0.5450070323	0.8472557298	0.8465681782	0.5542711435	B
selected_local_dynamic	LA	0.5558091825	0.7572485152	0.522620722	0.5459446789	0.847708082	0.8468189327	0.5558091825	B
selected_local_dynamic	LV	0.5551019938	0.7577479085	0.5209798406	0.5446554149	0.8478588661	0.8471611491	0.5551019938	B
selected_local_dynamic	L	0.5573494254	0.7553084244	0.5219174871	0.5446554149	0.8465018094	0.8456325613	0.5573494254	B
selected_local_dynamic	Overall	0.5556329363	0.7572479623	0.5218002813	0.5450656353	0.8473311218	0.8465461497	0.5551790054	B
selected_safe_local	LAV	0.5539712207	0.7594712629	0.5215658697	0.5450070323	0.8442400483	0.8438203692	0.5539712207	B
selected_safe_local	LA	0.5555866505	0.7580746949	0.5229723394	0.5460618847	0.8454463209	0.8448155355	0.5555866505	B
selected_safe_local	LV	0.5546316246	0.7587472605	0.520745429	0.5444210033	0.845747889	0.8452828106	0.5546316246	B
selected_safe_local	L	0.5571115582	0.7559578403	0.521331458	0.5444210033	0.8448431846	0.8441969731	0.5571115582	B
selected_safe_local	Overall	0.5553252635	0.7580591665	0.521653774	0.5449777309	0.8450693607	0.8445298746	0.5548739159	B
common_fixed_safe	LAV	0.5555651588	0.7571517181	0.520745429	0.5438349742	0.8455971049	0.845162579	0.5555651588	B
common_fixed_safe	LA	0.5565148518	0.7568515619	0.5209798406	0.5440693858	0.8439384801	0.843353358	0.5565148518	B
common_fixed_safe	LV	0.5550830728	0.7579527929	0.5221518987	0.5450070323	0.8442400483	0.8437326079	0.5550830728	B
common_fixed_safe	L	0.5565808872	0.7572128865	0.5219174871	0.5444210033	0.8442400483	0.8436689007	0.5565808872	B
