checkpoint_fold	expert_id	mode	quantile	empirical_coverage	pinball_loss	mean_predicted_quantile	mean_q90_minus_q50_interval_width
1	moddrop_seed1111	L	0.9	0.899768697	0.1061811429	1.236403596	0.8045108524
1	moddrop_seed1114	LAV	0.5	0.4888203547	0.174730253	0.4382723455	0.7831939508
1	moddrop_seed1114	LAV	0.8	0.8064764842	0.1522176329	0.9021939145	0.7831939508
1	moddrop_seed1114	LAV	0.9	0.9074787972	0.1082296705	1.221466296	0.7831939508
1	moddrop_seed1114	LA	0.5	0.4764841943	0.1745813577	0.4362198801	0.784888509
1	moddrop_seed1114	LA	0.8	0.8095605243	0.1517312113	0.9049927929	0.784888509
1	moddrop_seed1114	LA	0.9	0.9097918273	0.1080738422	1.221108389	0.784888509
1	moddrop_seed1114	LV	0.5	0.4841942945	0.1739983415	0.4378820558	0.7906696589
1	moddrop_seed1114	LV	0.8	0.8072474942	0.1512942343	0.8976156883	0.7906696589
1	moddrop_seed1114	LV	0.9	0.9105628373	0.1080310205	1.228551715	0.7906696589
1	moddrop_seed1114	L	0.5	0.4818812645	0.1729517104	0.4354574315	0.8063641785
1	moddrop_seed1114	L	0.8	0.8118735544	0.1497254622	0.8992752757	0.8063641785
1	moddrop_seed1114	L	0.9	0.9113338473	0.1073789399	1.24182161	0.8063641785
1	cfcompat_seed1111	LAV	0.5	0.5034695451	0.176106983	0.435004922	0.791933879
1	cfcompat_seed1111	LAV	0.8	0.800308404	0.1533609301	0.8920316729	0.791933879
