checkpoint_fold	expert_id	mode	model	coverage	retained_samples	retained_actual_MAE	rejected_actual_MAE	random_expected_MAE	improvement_vs_random
0	uniform_kd_seed1111	LA	N2_length_mask_only	0.5	765	0.5658834803	0.5737584222	0.5698209512	0.003937470971
0	uniform_kd_seed1111	LA	N2_length_mask_only	0.7	1071	0.5587391729	0.5956784341	0.5698209512	0.01108177839
0	uniform_kd_seed1111	LA	N2_length_mask_only	1	1530	0.5698209512	0	0.5698209512	-1.110223025e-16
0	uniform_kd_seed1111	LA	N5_label_bin_prior	0.1	153	0.4225685801	0.5861823258	0.5698209512	0.1472523712
0	uniform_kd_seed1111	LA	N5_label_bin_prior	0.2	306	0.405656418	0.6108620845	0.5698209512	0.1641645332
0	uniform_kd_seed1111	LA	N5_label_bin_prior	0.3	459	0.4554933646	0.6188184884	0.5698209512	0.1143275866
0	uniform_kd_seed1111	LA	N5_label_bin_prior	0.5	765	0.4970316523	0.6426102502	0.5698209512	0.07278929897
0	uniform_kd_seed1111	LA	N5_label_bin_prior	0.7	1071	0.5510799733	0.6135498998	0.5698209512	0.01874097797
0	uniform_kd_seed1111	LA	N5_label_bin_prior	1	1530	0.5698209512	0	0.5698209512	-1.110223025e-16
0	uniform_kd_seed1111	LA	N1_matched_gaussian	0.1	153	0.5538091412	0.5716000412	0.5698209512	0.01601181006
0	uniform_kd_seed1111	LA	N1_matched_gaussian	0.2	306	0.573719197	0.5688463898	0.5698209512	-0.003898245761
0	uniform_kd_seed1111	LA	N1_matched_gaussian	0.3	459	0.5502787717	0.5781961711	0.5698209512	0.01954217959
0	uniform_kd_seed1111	LA	N1_matched_gaussian	0.5	765	0.5704204858	0.5692214166	0.5698209512	-0.000599534601
0	uniform_kd_seed1111	LA	N1_matched_gaussian	0.7	1071	0.5590971018	0.5948432666	0.5698209512	0.01072384946
0	uniform_kd_seed1111	LA	N1_matched_gaussian	1	1530	0.5698209512	0	0.5698209512	-1.110223025e-16
0	uniform_kd_seed1111	LA	N0_shuffle_seed23071	0.1	153	0.601549733	0.566295531	0.5698209512	-0.03172878175
0	uniform_kd_seed1111	LA	N0_shuffle_seed23071	0.2	306	0.6001890759	0.5622289201	0.5698209512	-0.03036812461
0	uniform_kd_seed1111	LA	N0_shuffle_seed23071	0.3	459	0.5893627125	0.5614459107	0.5698209512	-0.01954176122
0	uniform_kd_seed1111	LA	N0_shuffle_seed23071	0.5	765	0.5681177726	0.5715241299	0.5698209512	0.001703178648
0	uniform_kd_seed1111	LA	N0_shuffle_seed23071	0.7	1071	0.5684110201	0.5731107905	0.5698209512	0.001409931099
0	uniform_kd_seed1111	LA	N0_shuffle_seed23071	1	1530	0.5698209512	0	0.5698209512	-1.110223025e-16
0	uniform_kd_seed1111	LA	N0_shuffle_seed23072	0.1	153	0.6394024972	0.5620896684	0.5698209512	-0.06958154596
0	uniform_kd_seed1111	LA	N0_shuffle_seed23072	0.2	306	0.6218795511	0.5568063013	0.5698209512	-0.05205859991
0	uniform_kd_seed1111	LA	N0_shuffle_seed23072	0.3	459	0.5990762178	0.5572829799	0.5698209512	-0.02925526653
0	uniform_kd_seed1111	LA	N0_shuffle_seed23072	0.5	765	0.5733725622	0.5662693403	0.5698209512	-0.003551610987
0	uniform_kd_seed1111	LA	N0_shuffle_seed23072	0.7	1071	0.5640976687	0.5831752772	0.5698209512	0.005723282567
0	uniform_kd_seed1111	LA	N0_shuffle_seed23072	1	1530	0.5698209512	0	0.5698209512	-1.110223025e-16
0	uniform_kd_seed1111	LA	N0_shuffle_seed23073	0.1	153	0.6326804541	0.562836562	0.5698209512	-0.06285950283
0	uniform_kd_seed1111	LA	N0_shuffle_seed23073	0.2	306	0.5848795022	0.5660563135	0.5698209512	-0.01505855092
0	uniform_kd_seed1111	LA	N0_shuffle_seed23073	0.3	459	0.596640694	0.5583267758	0.5698209512	-0.02681974275
0	uniform_kd_seed1111	LA	N0_shuffle_seed23073	0.5	765	0.5709575399	0.5686843626	0.5698209512	-0.00113658865
0	uniform_kd_seed1111	LA	N0_shuffle_seed23073	0.7	1071	0.5743236749	0.5593145959	0.5698209512	-0.004502723696
0	uniform_kd_seed1111	LA	N0_shuffle_seed23073	1	1530	0.5698209512	0	0.5698209512	-1.110223025e-16
0	uniform_kd_seed1111	LV	R0_global	0.1	153	0.4631249017	0.5787994304	0.5672319775	0.1041070758
0	uniform_kd_seed1111	LV	R0_global	0.2	306	0.5385677664	0.5743980303	0.5672319775	0.02866421107
0	uniform_kd_seed1111	LV	R0_global	0.3	459	0.5502177818	0.5745237757	0.5672319775	0.01701419573
0	uniform_kd_seed1111	LV	R0_global	0.5	765	0.5356592028	0.5988047522	0.5672319775	0.03157277469
0	uniform_kd_seed1111	LV	R0_global	0.7	1071	0.5482182945	0.6115972379	0.5672319775	0.01901368303
0	uniform_kd_seed1111	LV	R0_global	1	1530	0.5672319775	0	0.5672319775	0
0	uniform_kd_seed1111	LV	R0_mode	0.1	153	0.4631249017	0.5787994304	0.5672319775	0.1041070758
0	uniform_kd_seed1111	LV	R0_mode	0.2	306	0.5385677664	0.5743980303	0.5672319775	0.02866421107
0	uniform_kd_seed1111	LV	R0_mode	0.3	459	0.5502177818	0.5745237757	0.5672319775	0.01701419573
0	uniform_kd_seed1111	LV	R0_mode	0.5	765	0.5356592028	0.5988047522	0.5672319775	0.03157277469
0	uniform_kd_seed1111	LV	R0_mode	0.7	1071	0.5482182945	0.6115972379	0.5672319775	0.01901368303
0	uniform_kd_seed1111	LV	R0_mode	1	1530	0.5672319775	0	0.5672319775	0
0	uniform_kd_seed1111	LV	R1	0.1	153	0.413513689	0.5843117873	0.5672319775	0.1537182885
0	uniform_kd_seed1111	LV	R1	0.2	306	0.4298828217	0.6015692665	0.5672319775	0.1373491558
0	uniform_kd_seed1111	LV	R1	0.3	459	0.4475066694	0.6185428238	0.5672319775	0.1197253081
0	uniform_kd_seed1111	LV	R1	0.5	765	0.4808325275	0.6536314275	0.5672319775	0.08639944997
0	uniform_kd_seed1111	LV	R1	0.7	1071	0.5078344922	0.7058261099	0.5672319775	0.05939748531
0	uniform_kd_seed1111	LV	R1	1	1530	0.5672319775	0	0.5672319775	0
0	uniform_kd_seed1111	LV	R2	0.1	153	0.4137026276	0.5842907942	0.5672319775	0.1535293499
0	uniform_kd_seed1111	LV	R2	0.2	306	0.4081718489	0.6069970097	0.5672319775	0.1590601286
0	uniform_kd_seed1111	LV	R2	0.3	459	0.4307512918	0.6257236999	0.5672319775	0.1364806857
0	uniform_kd_seed1111	LV	R2	0.5	765	0.4726336925	0.6618302626	0.5672319775	0.09459828504
0	uniform_kd_seed1111	LV	R2	0.7	1071	0.502282908	0.7187798065	0.5672319775	0.06494906955
0	uniform_kd_seed1111	LV	R2	1	1530	0.5672319775	0	0.5672319775	0
0	uniform_kd_seed1111	LV	N3_output_only	0.1	153	0.413513689	0.5843117873	0.5672319775	0.1537182885
0	uniform_kd_seed1111	LV	N3_output_only	0.2	306	0.4298828217	0.6015692665	0.5672319775	0.1373491558
0	uniform_kd_seed1111	LV	N3_output_only	0.3	459	0.4475066694	0.6185428238	0.5672319775	0.1197253081
0	uniform_kd_seed1111	LV	N3_output_only	0.5	765	0.4808325275	0.6536314275	0.5672319775	0.08639944997
0	uniform_kd_seed1111	LV	N3_output_only	0.7	1071	0.5078344922	0.7058261099	0.5672319775	0.05939748531
0	uniform_kd_seed1111	LV	N3_output_only	1	1530	0.5672319775	0	0.5672319775	0
0	uniform_kd_seed1111	LV	N2_length_mask_only	0.1	153	0.5749836791	0.5663706773	0.5672319775	-0.007751701586
0	uniform_kd_seed1111	LV	N2_length_mask_only	0.2	306	0.5862212944	0.5624846483	0.5672319775	-0.01898931693
0	uniform_kd_seed1111	LV	N2_length_mask_only	0.3	459	0.5901230612	0.5574215131	0.5672319775	-0.02289108365
0	uniform_kd_seed1111	LV	N2_length_mask_only	0.5	765	0.5631861193	0.5712778358	0.5672319775	0.004045858241
0	uniform_kd_seed1111	LV	N2_length_mask_only	0.7	1071	0.5560155139	0.593403726	0.5672319775	0.01121646364
0	uniform_kd_seed1111	LV	N2_length_mask_only	1	1530	0.5672319775	0	0.5672319775	0
0	uniform_kd_seed1111	LV	N5_label_bin_prior	0.1	153	0.42865971	0.5826288961	0.5672319775	0.1385722675
0	uniform_kd_seed1111	LV	N5_label_bin_prior	0.2	306	0.4015068688	0.6086632547	0.5672319775	0.1657251087
0	uniform_kd_seed1111	LV	N5_label_bin_prior	0.3	459	0.4491602918	0.6178341285	0.5672319775	0.1180716857
0	uniform_kd_seed1111	LV	N5_label_bin_prior	0.5	765	0.4980081705	0.6364557845	0.5672319775	0.06922380697
0	uniform_kd_seed1111	LV	N5_label_bin_prior	0.7	1071	0.54658025	0.6154193416	0.5672319775	0.02065172746
0	uniform_kd_seed1111	LV	N5_label_bin_prior	1	1530	0.5672319775	0	0.5672319775	0
0	uniform_kd_seed1111	LV	N1_matched_gaussian	0.1	153	0.5677124119	0.5671785959	0.5672319775	-0.0004804344193
0	uniform_kd_seed1111	LV	N1_matched_gaussian	0.2	306	0.5821285795	0.563507827	0.5672319775	-0.014896602
0	uniform_kd_seed1111	LV	N1_matched_gaussian	0.3	459	0.5771127348	0.5629973672	0.5672319775	-0.009880757332
0	uniform_kd_seed1111	LV	N1_matched_gaussian	0.5	765	0.5684478247	0.5660161303	0.5672319775	-0.001215847172
0	uniform_kd_seed1111	LV	N1_matched_gaussian	0.7	1071	0.5676020023	0.5663685863	0.5672319775	-0.0003700247896
0	uniform_kd_seed1111	LV	N1_matched_gaussian	1	1530	0.5672319775	0	0.5672319775	0
0	uniform_kd_seed1111	LV	N0_shuffle_seed23071	0.1	153	0.5967432007	0.5639529527	0.5672319775	-0.02951122319
0	uniform_kd_seed1111	LV	N0_shuffle_seed23071	0.2	306	0.5673912077	0.56719217	0.5672319775	-0.0001592301556
0	uniform_kd_seed1111	LV	N0_shuffle_seed23071	0.3	459	0.5672344766	0.5672309065	0.5672319775	-2.499121893e-06
0	uniform_kd_seed1111	LV	N0_shuffle_seed23071	0.5	765	0.5620320087	0.5724319464	0.5672319775	0.005199968856
0	uniform_kd_seed1111	LV	N0_shuffle_seed23071	0.7	1071	0.5526546252	0.6012457996	0.5672319775	0.01457735231
0	uniform_kd_seed1111	LV	N0_shuffle_seed23071	1	1530	0.5672319775	0	0.5672319775	0
0	uniform_kd_seed1111	LV	N0_shuffle_seed23072	0.1	153	0.7052939095	0.5518917628	0.5672319775	-0.138061932
0	uniform_kd_seed1111	LV	N0_shuffle_seed23072	0.2	306	0.65592803	0.5450579644	0.5672319775	-0.08869605251
0	uniform_kd_seed1111	LV	N0_shuffle_seed23072	0.3	459	0.6434861907	0.5345516004	0.5672319775	-0.07625421317
0	uniform_kd_seed1111	LV	N0_shuffle_seed23072	0.5	765	0.5852257868	0.5492381683	0.5672319775	-0.01799380926
0	uniform_kd_seed1111	LV	N0_shuffle_seed23072	0.7	1071	0.5707612268	0.5589970624	0.5672319775	-0.003529249325
0	uniform_kd_seed1111	LV	N0_shuffle_seed23072	1	1530	0.5672319775	0	0.5672319775	0
0	uniform_kd_seed1111	LV	N0_shuffle_seed23073	0.1	153	0.6424291032	0.5588767413	0.5672319775	-0.07519712571
0	uniform_kd_seed1111	LV	N0_shuffle_seed23073	0.2	306	0.6065976004	0.5573905718	0.5672319775	-0.03936562291
