checkpoint_fold	expert_id	mode	confidence_bottom_percent	error_top_percent	event_count	event_prevalence	R2_AUROC	R2_AUPRC	R2_recall_at_precision_0p8
1	uniform_kd_seed1111	LAV	30	10	22	0.01696222051	0.8108377897	0.04424573148	0
1	uniform_kd_seed1111	LAV	30	20	54	0.04163454125	0.8467119573	0.1651828172	0.01851851852
1	uniform_kd_seed1111	LAV	40	10	35	0.02698535081	0.7432420195	0.05132290317	0
1	uniform_kd_seed1111	LAV	40	20	75	0.05782575173	0.7829023459	0.1576485509	0.01333333333
1	uniform_kd_seed1111	LA	20	10	14	0.01079414032	0.8427235274	0.03827189366	0
1	uniform_kd_seed1111	LA	20	20	27	0.02081727062	0.8825021872	0.1081118393	0
1	uniform_kd_seed1111	LA	30	10	20	0.01542020046	0.8689115114	0.07229536686	0
1	uniform_kd_seed1111	LA	30	20	44	0.03392444102	0.9046288907	0.2138352842	0
1	uniform_kd_seed1111	LA	40	10	25	0.01927525058	0.7751886792	0.06434096543	0
1	uniform_kd_seed1111	LA	40	20	59	0.04548959136	0.7896689576	0.1787234266	0
1	uniform_kd_seed1111	LV	20	10	12	0.009252120278	0.8367055772	0.03459585929	0
1	uniform_kd_seed1111	LV	20	20	32	0.02467232074	0.880805336	0.216103867	0.09375
1	uniform_kd_seed1111	LV	30	10	17	0.01310717039	0.8303308824	0.04093931797	0
1	uniform_kd_seed1111	LV	30	20	45	0.03469545104	0.8695598154	0.200331043	0.06666666667
1	uniform_kd_seed1111	LV	40	10	31	0.02390131072	0.7088875299	0.04244919901	0
1	uniform_kd_seed1111	LV	40	20	70	0.05397070162	0.7541739434	0.1643411543	0.04285714286
1	uniform_kd_seed1111	L	20	10	10	0.007710100231	0.8354312354	0.02397677812	0
1	uniform_kd_seed1111	L	20	20	26	0.0200462606	0.8685620045	0.09014518787	0
1	uniform_kd_seed1111	L	30	10	19	0.01464919044	0.8833703978	0.07411731156	0
1	uniform_kd_seed1111	L	30	20	40	0.03084040093	0.9002684964	0.1719788478	0
1	uniform_kd_seed1111	L	40	10	27	0.02081727062	0.7556138816	0.06204163922	0
1	uniform_kd_seed1111	L	40	20	64	0.04934464148	0.7405717762	0.1370782645	0
1	moddrop_seed1111	LAV	20	10	18	0.01387818042	0.8719485709	0.0696810829	0
1	moddrop_seed1111	LAV	20	20	38	0.02929838088	0.8777643075	0.118735388	0
1	moddrop_seed1111	LAV	30	10	26	0.0200462606	0.8720571325	0.08692803723	0
1	moddrop_seed1111	LAV	30	20	64	0.04934464148	0.8856320965	0.1961801576	0
1	moddrop_seed1111	LAV	40	10	34	0.02621434079	0.7592566718	0.07549811746	0
1	moddrop_seed1111	LAV	40	20	80	0.06168080185	0.7971959737	0.1771426679	0
1	moddrop_seed1111	LA	20	10	14	0.01079414032	0.8787440151	0.04768543829	0
1	moddrop_seed1111	LA	20	20	34	0.02621434079	0.8787899958	0.1126084161	0
1	moddrop_seed1111	LA	30	10	28	0.02158828065	0.8797703479	0.08561331508	0
1	moddrop_seed1111	LA	30	20	57	0.04394757132	0.8849037917	0.1746389953	0
1	moddrop_seed1111	LA	40	10	33	0.02544333076	0.8291139241	0.08088705424	0
1	moddrop_seed1111	LA	40	20	76	0.05859676176	0.7751519462	0.1555675428	0
1	moddrop_seed1111	LV	20	10	18	0.01387818042	0.8953609591	0.1007202036	0
1	moddrop_seed1111	LV	20	20	34	0.02621434079	0.9055703041	0.1778114794	0
1	moddrop_seed1111	LV	30	10	26	0.0200462606	0.8516310597	0.0903942022	0
1	moddrop_seed1111	LV	30	20	57	0.04394757132	0.8559988681	0.1671966438	0
1	moddrop_seed1111	LV	40	10	40	0.03084040093	0.7985680191	0.08801248791	0
1	moddrop_seed1111	LV	40	20	85	0.06553585197	0.8069306931	0.1691760046	0
1	moddrop_seed1111	L	20	10	14	0.01079414032	0.9114241176	0.06290282606	0
1	moddrop_seed1111	L	20	20	32	0.02467232074	0.919416996	0.1432257369	0
1	moddrop_seed1111	L	30	10	22	0.01696222051	0.8612834225	0.06278614443	0
1	moddrop_seed1111	L	30	20	50	0.03855050116	0.8738251804	0.1435171655	0
1	moddrop_seed1111	L	40	10	30	0.02313030069	0.811391739	0.06273313189	0
1	moddrop_seed1111	L	40	20	70	0.05397070162	0.8186983351	0.1428563883	0
1	moddrop_seed1114	LAV	20	10	18	0.01387818042	0.8814177743	0.1278873963	0.05555555556
1	moddrop_seed1114	LAV	20	20	37	0.02852737086	0.8676104676	0.1355784698	0.02702702703
1	moddrop_seed1114	LAV	30	10	28	0.02158828065	0.8873972757	0.1517498343	0.03571428571
1	moddrop_seed1114	LAV	30	20	57	0.04394757132	0.88967176	0.2149996733	0.01754385965
